id,title,subtitle,content,html_content,release_date,solved_by_count,difficulty
485,Maximum Number of Divisors,Problem 485,"

Let d(n) be the number of divisors of n.
Let M(n,k) be the maximum value of d(j) for n≤j≤n+k−1.
Let S(u,k) be the sum of M(n,k) for 1≤n≤u−k+1.


You are given that S(1000,10)=17176.


Find S(100000000,100000).

","<p>
Let $d(n)$ be the number of divisors of $n$.<br>
Let $M(n,k)$ be the maximum value of $d(j)$ for $n \le j \le n+k-1$.<br>
Let $S(u,k)$ be the sum of $M(n,k)$ for $1 \le n \le u-k+1$.
</p>
<p>
You are given that $S(1000,10)=17176$.
</p>
<p>
Find $S(100\,000\,000, 100\,000)$.
</p>



",2014-10-18T16:00:00,1303,30
486,Palindrome-containing Strings,Problem 486,"
Let F5(n) be the number of strings s such that:
s consists only of '0's and '1's,
s has length at most n, and
s contains a palindromic substring of length at least 5.
For example, F5(4)=0, F5(5)=8, 
F5(6)=42 and F5(11)=3844.
Let D(L) be the number of integers n such that 5≤n≤L and F5(n) is divisible by 87654321.
For example, D(107)=0 and D(5⋅109)=51.
Find D(1018).
","<p>Let $F_5(n)$ be the number of strings $s$ such that:</p>
<ul><li>$s$ consists only of '0's and '1's,
</li><li>$s$ has length at most $n$, and
</li><li>$s$ contains a palindromic substring of length at least $5$.
</li></ul><p>For example, $F_5(4) = 0$, $F_5(5) = 8$, 
$F_5(6) = 42$ and $F_5(11) = 3844$.</p>

<p>Let $D(L)$ be the number of integers $n$ such that $5 \le n \le L$ and $F_5(n)$ is divisible by $87654321$.</p>

<p>For example, $D(10^7) = 0$ and $D(5 \cdot 10^9) = 51$.</p>

<p>Find $D(10^{18})$.</p>
",2014-10-25T19:00:00,295,70
487,Sums of Power Sums,Problem 487,"
Let fk(n) be the sum of the kth powers of the first n positive integers.
For example, f2(10)=12+22+32+42+52+62+72+82+92+102=385.
Let Sk(n) be the sum of fk(i) for 1≤i≤n. For example, S4(100)=35375333830.
What is ∑(S10000(1012)modp) over all primes p between 2⋅109 and 2⋅109+2000?
","<p>Let $f_k(n)$ be the sum of the $k$<sup>th</sup> powers of the first $n$ positive integers.</p>

<p>For example, $f_2(10) = 1^2 + 2^2 + 3^2 + 4^2 + 5^2 + 6^2 + 7^2 + 8^2 + 9^2 + 10^2 = 385$.</p>

<p>Let $S_k(n)$ be the sum of $f_k(i)$ for $1 \le i \le n$. For example, $S_4(100) = 35375333830$.</p>

<p>What is $\sum (S_{10000}(10^{12}) \bmod p)$ over all primes $p$ between $2 \cdot 10^9$ and $2 \cdot 10^9 + 2000$?</p>
",2014-11-01T22:00:00,737,40
488,Unbalanced Nim,Problem 488,"
Alice and Bob have enjoyed playing Nim every day. However, they finally got bored of playing ordinary three-heap Nim.
So, they added an extra rule:
- Must not make two heaps of the same size.
The triple (a,b,c) indicates the size of three heaps.
Under this extra rule, (2,4,5) is one of the losing positions for the next player.
To illustrate:
- Alice moves to (2,4,3)
- Bob   moves to (0,4,3)
- Alice moves to (0,2,3)
- Bob   moves to (0,2,1)
Unlike ordinary three-heap Nim, (0,1,2) and its permutations are the end states of this game.
For an integer N, we define F(N) as the sum of a+b+c for all the losing positions for the next player, with 0<a<b<c<N.
For example, F(8)=42, because there are 4 losing positions for the next player, (1,3,5), (1,4,6), (2,3,6) and (2,4,5).
We can also verify that F(128)=496062.
Find the last 9 digits of F(1018).
","<p>Alice and Bob have enjoyed playing <strong>Nim</strong> every day. However, they finally got bored of playing ordinary three-heap Nim.<br>
So, they added an extra rule:</p>

<p>- Must not make two heaps of the same size.</p>

<p>The triple $(a, b, c)$ indicates the size of three heaps.<br>
Under this extra rule, $(2,4,5)$ is one of the losing positions for the next player.</p>

<p>To illustrate:<br>
- Alice moves to $(2,4,3)$<br>
- Bob   moves to $(0,4,3)$<br>
- Alice moves to $(0,2,3)$<br>
- Bob   moves to $(0,2,1)$</p>

<p>Unlike ordinary three-heap Nim, $(0,1,2)$ and its permutations are the end states of this game.</p>

<p>For an integer $N$, we define $F(N)$ as the sum of $a + b + c$ for all the losing positions for the next player, with $0 \lt a \lt b \lt c \lt N$.</p>

<p>For example, $F(8) = 42$, because there are $4$ losing positions for the next player, $(1,3,5)$, $(1,4,6)$, $(2,3,6)$ and $(2,4,5)$.<br>
We can also verify that $F(128) = 496062$.</p>

<p>Find the last $9$ digits of $F(10^{18})$.</p>
",2014-11-09T01:00:00,267,80
489,Common Factors Between Two Sequences,Problem 489,"
Let G(a,b) be the smallest non-negative integer n for which gcdGreatest common divisor(n3+b,(n+a)3+b) is maximized.
For example, G(1,1)=5 because gcd(n3+1,(n+1)3+1) reaches its maximum value of 7 for n=5, and is smaller for 0≤n<5.
Let H(m,n)=∑G(a,b) for 1≤a≤m, 1≤b≤n.
You are given H(5,5)=128878 and H(10,10)=32936544.
Find H(18,1900).
","<p>Let $G(a, b)$ be the smallest non-negative integer $n$ for which <strong class=""tooltip"">$\operatorname{\mathbf{gcd}}$<span class=""tooltiptext"">Greatest common divisor</span></strong>$(n^3 + b, (n + a)^3 + b)$ is maximized.<br>
For example, $G(1, 1) = 5$ because $\gcd(n^3 + 1, (n + 1)^3 + 1)$ reaches its maximum value of $7$ for $n = 5$, and is smaller for $0 \le n \lt 5$.<br>
Let $H(m, n) = \sum G(a, b)$ for $1 \le a \le m$, $1 \le b \le n$.<br>
You are given $H(5, 5) = 128878$ and $H(10, 10) = 32936544$.
</p><p>Find $H(18, 1900)$.</p>
",2014-11-16T04:00:00,283,100
490,Jumping Frog,Problem 490,"
There are n stones in a pond, numbered 1 to n. Consecutive stones are spaced one unit apart.
A frog sits on stone 1. He wishes to visit each stone exactly once, stopping on stone n. However, he can only jump from one stone to another if they are at most 3 units apart. In other words, from stone i, he can reach a stone j if 1≤j≤n and j is in the set {i−3,i−2,i−1,i+1,i+2,i+3}.
Let f(n) be the number of ways he can do this. For example, f(6)=14, as shown below:
1→2→3→4→5→6 
1→2→3→5→4→6 
1→2→4→3→5→6 
1→2→4→5→3→6 
1→2→5→3→4→6 
1→2→5→4→3→6 
1→3→2→4→5→6 
1→3→2→5→4→6 
1→3→4→2→5→6 
1→3→5→2→4→6 
1→4→2→3→5→6 
1→4→2→5→3→6 
1→4→3→2→5→6 
1→4→5→2→3→6
Other examples are f(10)=254 and f(40)=1439682432976.
Let S(L)=∑f(n)3 for 1≤n≤L.
Examples:
S(10)=18230635
S(20)=104207881192114219
S(1000)mod109=225031475
S(1000000)mod109=363486179
Find S(1014)mod109.
","<p>There are $n$ stones in a pond, numbered $1$ to $n$. Consecutive stones are spaced one unit apart.</p>

<p>A frog sits on stone $1$. He wishes to visit each stone exactly once, stopping on stone $n$. However, he can only jump from one stone to another if they are at most $3$ units apart. In other words, from stone $i$, he can reach a stone $j$ if $1 \le j \le n$ and $j$ is in the set $\{i-3, i-2, i-1, i+1, i+2, i+3\}$.</p>

<p>Let $f(n)$ be the number of ways he can do this. For example, $f(6) = 14$, as shown below:<br>
$1 \to 2 \to 3 \to 4 \to 5 \to 6$ <br>
$1 \to 2 \to 3 \to 5 \to 4 \to 6$ <br>
$1 \to 2 \to 4 \to 3 \to 5 \to 6$ <br>
$1 \to 2 \to 4 \to 5 \to 3 \to 6$ <br>
$1 \to 2 \to 5 \to 3 \to 4 \to 6$ <br>
$1 \to 2 \to 5 \to 4 \to 3 \to 6$ <br>
$1 \to 3 \to 2 \to 4 \to 5 \to 6$ <br>
$1 \to 3 \to 2 \to 5 \to 4 \to 6$ <br>
$1 \to 3 \to 4 \to 2 \to 5 \to 6$ <br>
$1 \to 3 \to 5 \to 2 \to 4 \to 6$ <br>
$1 \to 4 \to 2 \to 3 \to 5 \to 6$ <br>
$1 \to 4 \to 2 \to 5 \to 3 \to 6$ <br>
$1 \to 4 \to 3 \to 2 \to 5 \to 6$ <br>
$1 \to 4 \to 5 \to 2 \to 3 \to 6$</p>

<p>Other examples are $f(10) = 254$ and $f(40) = 1439682432976$.</p>

<p>Let $S(L) = \sum f(n)^3$ for $1 \le n \le L$.<br>
Examples:<br>
$S(10) = 18230635$<br>
$S(20) = 104207881192114219$<br>
$S(1\,000) \bmod 10^9 = 225031475$<br>
$S(1\,000\,000) \bmod 10^9 = 363486179$</p>

<p>Find $S(10^{14}) \bmod 10^9$.</p>

",2014-11-23T07:00:00,353,95
491,Double Pandigital Number Divisible by 11,Problem 491,"
We call a positive integer double pandigital if it uses all the digits 0 to 9 exactly twice (with no leading zero). For example, 40561817703823564929 is one such number.
How many double pandigital numbers are divisible by 11?
","<p>We call a positive integer <dfn>double pandigital</dfn> if it uses all the digits $0$ to $9$ exactly twice (with no leading zero). For example, $40561817703823564929$ is one such number.</p>

<p>How many double pandigital numbers are divisible by $11$?</p>
",2014-11-30T10:00:00,2382,20
492,Exploding Sequence,Problem 492,"
Define the sequence a1,a2,a3,… as:
a1=1
an+1=6an2+10an+3 for n≥1.

Examples:
a3=2359
a6=269221280981320216750489044576319
a6mod1000000007=203064689
a100mod1000000007=456482974


Define B(x,y,n) as ∑(anmodp) for every prime p such that x≤p≤x+y.


Examples:
B(109,103,103)=23674718882
B(109,103,1015)=20731563854

Find B(109,107,1015).
","<p>Define the sequence $a_1, a_2, a_3, \dots$ as:</p>
<ul><li>$a_1 = 1$</li>
<li>$a_{n+1} = 6a_n^2 + 10a_n + 3$ for $n \ge 1$.</li>
</ul><p>
Examples:<br>
$a_3 = 2359$<br>
$a_6 = 269221280981320216750489044576319$<br>
$a_6 \bmod 1\,000\,000\,007 = 203064689$<br>
$a_{100} \bmod 1\,000\,000\,007 = 456482974$
</p>

<p>
Define $B(x,y,n)$ as $\sum (a_n \bmod p)$ for every prime $p$ such that $x \le p \le x+y$.
</p>

<p>
Examples:<br>
$B(10^9, 10^3, 10^3) = 23674718882$<br>
$B(10^9, 10^3, 10^{15}) = 20731563854$
</p>

<p>Find $B(10^9, 10^7, 10^{15})$.</p>

",2014-12-06T13:00:00,403,60
493,Under the Rainbow,Problem 493,"
70 coloured balls are placed in an urn, 10 for each of the seven rainbow colours.
What is the expected number of distinct colours in 20 randomly picked balls?
Give your answer with nine digits after the decimal point (a.bcdefghij).
","<p>$70$ coloured balls are placed in an urn, $10$ for each of the seven rainbow colours.</p>
<p>What is the expected number of distinct colours in $20$ randomly picked balls?</p>
<p>Give your answer with nine digits after the decimal point (a.bcdefghij).</p>
",2014-12-13T16:00:00,5917,10
494,Collatz Prefix Families,Problem 494,"

The Collatz sequence is defined as:
ai+1={ai23ai+1if ai is evenif ai is odd.


The Collatz conjecture states that starting from any positive integer, the sequence eventually reaches the cycle 1,4,2,1,….
We shall define the sequence prefix p(n) for the Collatz sequence starting with a1=n as the sub-sequence of all numbers not a power of 2 (20=1 is considered a power of 2 for this problem). For example:p(13)={13,40,20,10,5} p(8)={}
Any number invalidating the conjecture would have an infinite length sequence prefix.


Let Sm be the set of all sequence prefixes of length m. Two sequences {a1,a2,…,am} and {b1,b2,…,bm} in Sm are said to belong to the same prefix family if ai<aj if and only if bi<bj for all 1≤i,j≤m.


For example, in S4, {6,3,10,5} is in the same family as {454,227,682,341}, but not {113,340,170,85}.
Let f(m) be the number of distinct prefix families in Sm.
You are given f(5)=5, f(10)=55, f(20)=6771.


Find f(90).

","<p>
The Collatz sequence is defined as:
$a_{i+1} = \left\{  \large{\frac {a_i} 2 \atop 3 a_i+1} {\text{if }a_i\text{ is even} \atop \text{if }a_i\text{ is odd}} \right.$.
</p>
<p>
The Collatz conjecture states that starting from any positive integer, the sequence eventually reaches the cycle $1,4,2,1, \dots$.<br>
We shall define the sequence prefix $p(n)$ for the Collatz sequence starting with $a_1 = n$ as the sub-sequence of all numbers not a power of $2$ ($2^0=1$ is considered a power of $2$ for this problem). For example:<br>$p(13) = \{13, 40, 20, 10, 5\}$ <br>$p(8) = \{\}$<br>
Any number invalidating the conjecture would have an infinite length sequence prefix.
</p>
<p>
Let $S_m$ be the set of all sequence prefixes of length $m$. Two sequences $\{a_1, a_2, \dots, a_m\}$ and $\{b_1, b_2, \dots, b_m\}$ in $S_m$ are said to belong to the same prefix family if $a_i \lt a_j$ if and only if $b_i \lt b_j$ for all $1 \le i,j \le m$.
</p>
<p>
For example, in $S_4$, $\{6, 3, 10, 5\}$ is in the same family as $\{454, 227, 682, 341\}$, but not $\{113, 340, 170, 85\}$.<br>
Let $f(m)$ be the number of distinct prefix families in $S_m$.<br>
You are given $f(5) = 5$, $f(10) = 55$, $f(20) = 6771$.
</p>
<p>
Find $f(90)$.
</p>

",2014-12-20T19:00:00,245,100
495,Writing n as the Product of k Distinct Positive Integers,Problem 495,"
Let W(n,k) be the number of ways in which n can be written as the product of k distinct positive integers.
For example, W(144,4)=7. There are 7 ways in which 144 can be written as a product of 4 distinct positive integers:
144=1×2×4×18
144=1×2×8×9
144=1×2×3×24
144=1×2×6×12
144=1×3×4×12
144=1×3×6×8
144=2×3×4×6
Note that permutations of the integers themselves are not considered distinct.
Furthermore, W(100!,10) modulo 1000000007=287549200.
Find W(10000!,30) modulo 1000000007.
","<p>Let $W(n,k)$ be the number of ways in which $n$ can be written as the product of $k$ distinct positive integers.</p>
<p>For example, $W(144,4) = 7$. There are $7$ ways in which $144$ can be written as a product of $4$ distinct positive integers:</p>
<p></p><ul><li>$144 = 1 \times 2 \times 4 \times 18$</li>
<li>$144 = 1 \times 2 \times 8 \times 9$</li>
<li>$144 = 1 \times 2 \times 3 \times 24$</li>
<li>$144 = 1 \times 2 \times 6 \times 12$</li>
<li>$144 = 1 \times 3 \times 4 \times 12$</li>
<li>$144 = 1 \times 3 \times 6 \times 8$</li>
<li>$144 = 2 \times 3 \times 4 \times 6$</li>
</ul><p>Note that permutations of the integers themselves are not considered distinct.</p>
<p>Furthermore, $W(100!,10)$ modulo $1\,000\,000\,007 = 287549200$.</p>
<p>Find $W(10000!,30)$ modulo $1\,000\,000\,007$.</p>
",2014-12-27T22:00:00,362,100
496,Incenter and Circumcenter of Triangle,Problem 496,"
Given an integer sided triangle ABC:
Let I be the incenter of ABC.
Let D be the intersection between the line AI and the circumcircle of ABC (A≠D).
We define F(L) as the sum of BC for the triangles ABC that satisfy AC=DI and BC≤L.
For example, F(15)=45 because the triangles ABC with (BC,AC,AB)=(6,4,5),(12,8,10),(12,9,7),(15,9,16) satisfy the conditions.
Find F(109).
","<p>Given an integer sided triangle $ABC$:<br>
Let $I$ be the incenter of $ABC$.<br>
Let $D$ be the intersection between the line $AI$ and the circumcircle of $ABC$ ($A \ne D$).</p>

<p>We define $F(L)$ as the sum of $BC$ for the triangles $ABC$ that satisfy $AC = DI$ and $BC \le L$.</p>

<p>For example, $F(15) = 45$ because the triangles $ABC$ with $(BC,AC,AB) = (6,4,5), (12,8,10), (12,9,7), (15,9,16)$ satisfy the conditions.</p>

<p>Find $F(10^9)$.</p>
",2015-01-04T01:00:00,365,50
497,Drunken Tower of Hanoi,Problem 497,"
Bob is very familiar with the famous mathematical puzzle/game, ""Tower of Hanoi,"" which consists of three upright rods and disks of different sizes that can slide onto any of the rods. The game begins with a stack of n disks placed on the leftmost rod in descending order by size. The objective of the game is to move all of the disks from the leftmost rod to the rightmost rod, given the following restrictions:
Only one disk can be moved at a time.
A valid move consists of taking the top disk from one stack and placing it onto another stack (or an empty rod).
No disk can be placed on top of a smaller disk.
Moving on to a variant of this game, consider a long room k units (square tiles) wide, labeled from 1 to k in ascending order. Three rods are placed at squares a, b, and c, and a stack of n disks is placed on the rod at square a.
Bob begins the game standing at square b. His objective is to play the Tower of Hanoi game by moving all of the disks to the rod at square c. However, Bob can only pick up or set down a disk if he is on the same square as the rod/stack in question.
Unfortunately, Bob is also drunk. On a given move, Bob will either stumble one square to the left or one square to the right with equal probability, unless Bob is at either end of the room, in which case he can only move in one direction. Despite Bob's inebriated state, he is still capable of following the rules of the game itself, as well as choosing when to pick up or put down a disk.
The following animation depicts a side-view of a sample game for n=3, k=7, a=2, b=4, and c=6:

Let E(n,k,a,b,c) be the expected number of squares that Bob travels during a single optimally-played game. A game is played optimally if the number of disk-pickups is minimized.
Interestingly enough, the result is always an integer. For example, E(2,5,1,3,5)=60 and E(3,20,4,9,17)=2358.
Find the last nine digits of ∑1≤n≤10000E(n,10n,3n,6n,9n).
","<p>Bob is very familiar with the famous mathematical puzzle/game, ""Tower of Hanoi,"" which consists of three upright rods and disks of different sizes that can slide onto any of the rods. The game begins with a stack of $n$ disks placed on the leftmost rod in descending order by size. The objective of the game is to move all of the disks from the leftmost rod to the rightmost rod, given the following restrictions:</p>

<ol><li>Only one disk can be moved at a time.</li>
<li>A valid move consists of taking the top disk from one stack and placing it onto another stack (or an empty rod).</li>
<li>No disk can be placed on top of a smaller disk.</li>
</ol><p>Moving on to a variant of this game, consider a long room $k$ units (square tiles) wide, labeled from $1$ to $k$ in ascending order. Three rods are placed at squares $a$, $b$, and $c$, and a stack of $n$ disks is placed on the rod at square $a$.</p>

<p>Bob begins the game standing at square $b$. His objective is to play the Tower of Hanoi game by moving all of the disks to the rod at square $c$. However, Bob can only pick up or set down a disk if he is on the same square as the rod/stack in question.</p>

<p>Unfortunately, Bob is also drunk. On a given move, Bob will either stumble one square to the left or one square to the right with equal probability, unless Bob is at either end of the room, in which case he can only move in one direction. Despite Bob's inebriated state, he is still capable of following the rules of the game itself, as well as choosing when to pick up or put down a disk.</p>

<p>The following animation depicts a side-view of a sample game for $n = 3$, $k = 7$, $a = 2$, $b = 4$, and $c = 6$:</p>

<p align=""center""><img src=""https://projecteuler.net/resources/images/0497_hanoi.gif?1678992057"" alt=""0497_hanoi.gif""></p>

<p>Let $E(n, k, a, b, c)$ be the expected number of squares that Bob travels during a single optimally-played game. A game is played optimally if the number of disk-pickups is minimized.</p>

<p>Interestingly enough, the result is always an integer. For example, $E(2,5,1,3,5) = 60$ and $E(3,20,4,9,17) = 2358$.</p>

<p>Find the last nine digits of $\sum_{1\le n \le 10000} E(n,10^n,3^n,6^n,9^n)$.</p>
",2015-01-11T04:00:00,616,40
